first_name,last_name,salary,age,doj,manager_name,employee_id,dob
'Mickey','Mouse',10000,21,2023-06-14,'Sponge',0,2002-01-01
'Minnie','Pink',20000,22,2023-05-15,'Bob',1,2001-01-01
'Donald','Duck,30000,23,2023-04-15,'Square',2,2000-02-02
'Daisy','Yellow',40000,24,2023-03-16,'Pants',3,1999-03-03
'Goofy','Dog',50000,25,2023-02-14,'Patrick',4,1998-04-04
'Pete','Cat',60000,26,2023-01-15,'Star',5,1997-05-05
'Pluto','White',70000,27,2022-12-16,'Squid',6,1996-06-06
'Huey','Red',80000,28,2022-11-16,'Ward',7,1995-07-07
'Dewey','Black',90000,29,2022-10-17,'Eugene',8,1994-08-08
'Louise','Brown',100000,30,2022-09-17,'Gary',9,1993-09-09
'Mickey','Mouse',10000,31,2022-08-18,'Sponge',10,1992-10-10
'Minnie','Pink',20000,32,2022-07-19,'Bob',11,1991-11-11
'Donald','Duck,30000,33,2022-06-19,'Square',12,1990-01-12
'Daisy','Yellow',40000,34,2022-05-20,'Pants',13,1989-01-13
'Goofy','Dog',50000,35,2022-04-20,'Patrick',14,1988-02-14
'Pete','Cat',60000,36,2022-03-21,'Star',15,1987-03-15
'Pluto','White',70000,37,2022-02-19,'Squid',16,1986-04-16
'Huey','Red',80000,38,2022-01-20,'Ward',17,1985-05-17
'Dewey','Black',90000,39,2021-12-21,'Eugene',18,1984-06-18
'Louise','Brown',100000,40,2021-11-21,'Gary',19,1983-07-19
'Mickey','Mouse',10000,41,2021-10-22,'Sponge',20,1982-08-20
'Minnie','Pink',20000,42,2021-09-22,'Bob',21,1981-09-21
'Donald','Duck,30000,43,2021-08-23,'Square',22,1980-10-22
'Daisy','Yellow',40000,44,2021-07-24,'Pants',23,1979-11-23
'Goofy','Dog',50000,45,2021-06-24,'Patrick',24,1978-01-24
'Pete','Cat',60000,46,2021-05-25,'Star',25,1977-01-25
'Pluto','White',70000,47,2021-04-25,'Squid',26,1976-02-26
'Huey','Red',80000,48,2021-03-26,'Ward',27,1975-03-27
'Dewey','Black',90000,49,2021-02-24,'Eugene',28,1974-04-28
